24/03/2017	DRR000897	DRR001173	DRR001174	DRR001175	DRR001622	DRR001631	DRR001634	DRR001637	DRR001623	DRR001626	DRR001632	DRR001635	DRR001638	DRR001642	DRR001624	DRR001627	DRR001630	DRR001633	DRR001636	DRR001639	DRR001640	DRR001641	DRR001796	DRR001797	DRR001798	DRR001799	DRR002274	DRR002594	DRR002596	DRR002597	DRR003595	DRR003596	DRR003597	DRR003598	DRR006374	DRR006375	DRR006376	DRR006377	DRR006378	DRR006379	DRR006380	DRR006381	DRR006382	DRR006383	DRR006385	DRR006386	DRR006387	DRR006388	DRR006389	DRR006390	DRR006391
ENSG00000005007	2700.0032	1.0	2922.0042	0.0	1226.00017	4418.00126	4414.00778	6520.00158	983.9992	915.9995	6287.99322	4200.00503	4175.00042	3496.00125	1520.99865	1408.99924	3618.00008	3228.00483	5517.9977	3590.00224	2778.99545	2848.99804	11002.99258	11477.99133	10037.99914	16014.02046	965.99924	2277.99599	1880.00131	1904.995105	1896.00232	1832.99788	2518.9961	1965.00222	597.9998	2231.000456	3093.00055	2762.00099	512.99917	2119.0049	495.00019	883.000355	803.00031	1704.99537	639.9995213	159.9994678	1892.005	1174.001199	3924.003688	1669.999715	623.0002
ENSG00000005020	199.99525	1.0	2854.58195	0.0	167.119	677.816	645.55043	796.42757	80.94445	69.108643	1154.18683	745.86326	757.27388	611.5741	155.32016	114.14259	992.679582	680.46274	1214.15804	1108.954261	681.61203	629.03369	1855.298271	2214.52217	2139.17414	2207.81252	109.919204	1245.69755	810.65721	682.12229	257.706341	133.6618	178.32583	61.597	163.432327	1314.78141	679.697	886.7298505	505.548	444.735	84.0324	2407.26121	56.9255	198.42156	1328.19	58.9596	1890.25	2136.39248	6765.10078	1781.88054	618.32962
ENSG00000005022	10274.42	1.0	19910.73	0.0	2015.69973	7724.5821	7559.72803	9257.2519	1079.8871	959.88895	11136.6898	7324.5661	7295.93381	5818.91243	1811.73966	1590.85669	7546.2647	5590.5966	9515.8312	7613.6214	5150.5796	4920.5173	34985.7755	35543.0765	36262.5524	33565.6849	12948.47	14197.228	13839.48	16869.66	4651.114	8196.627	6525.579	3582.953	790.5359	3317.394	3319.5507	982.14506	728.9659	3224.852	1171.742	7949.16	2867.3676	3274.1448	2334.377	279.7437	3794.409	1815.512	5828.1991	1589.601	483.5778
ENSG00000005059	206.9999	1.0	929.9306	0.0	26.99997	101.99999	84.99999	135.00037	21.00001	33.0	155.9995	102.00003	97.0	104.00004	29.0	20.00003	120.0	83.99998035	136.00024	140.0004	86.99997	73.99997	1029.00058	1029.0004	903.00004	895.99974	88.0	665.9999	582.0005	659.0005	645.8761	1736.1893	1156.5614	571.4873	109.00002	448.9999	444.9998	238.9998	195.99985	499.0003521	226.00011	1560.9993	481.9999	598.9996	645.99973	158.000242	652.00021	715.9997	2337.99937	309.9999	107.0
ENSG00000005073	25.74208	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	436.2645	493.1237	444.4365811	730.53	601.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000005075	1094.609	1.0	309.1164	0.0	225.7426	1037.379	1124.461	1543.047	159.1833	142.4159	1604.576	1088.487	1105.831	919.017	340.0705	250.1285	947.545	757.106	1464.156	919.33	764.65	746.271	5621.1	5415.45	5650.29	4561.67	1293.133	453.331	588.533	467.277	400.75	741.896	539.983	575.098	215.446	809.401	829.213	526.753	249.7907	707.934	611.107	2012.745	463.12	547.395	1370.312	156.7448	1681.059	774.426	2576.666	887.32	267.3002
ENSG00000005100	1374.244703	1.0	1253.6691	0.0	224.5709	798.38473	802.5972	887.944	141.09275	125.2039	1306.6769	828.09122	897.79599	703.5511	249.25517	207.18812	983.06179	681.49271	1260.520608	973.4485339	643.30343	624.05076	7861.2337	8243.9836	8697.275	7830.3109	2313.84695	1971.470174	1347.2458	1652.7124	1346.7265	2344.30348	888.8606	956.51921	39.8149	190.151	46.6724	93.69796	35.5726	47.1855	76.64727	484.874	80.518	144.104	143.623	14.7197	210.152	146.305	457.02354	91.1601	34.6675
ENSG00000005102	46.0	1.0	2.0	0.0	0.0	0.0	2.000003981	4.999996	0.0	0.0	3.000002	3.0	3.0	2.0	1.0	1.0	2.0	0.0	5.0	2.0	2.0	1.0	23.0	21.99995	29.00001	10.0	2.000005	2.000005	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	21.00001	1.0	3.0	12.0	1.0	10.0	1.999995	2.0	4.0	1.0	23.0	20.00001	55.00003	6.999996	5.0
ENSG00000005108	4.0	1.0	11.0	0.0	269.0	979.84399	841.6943	1009.1738	142.00009	150.032	1456.8847	1029.8671	1014.5852	797.8646	252.64329	217.912	1270.568	862.912	1569.3551	1343.5213	860.99961	755.65622	31.335	43.0	34.000045	47.999986	6.583156	0.0	1.00002	0.0	319.78823	282.60308	260.5810092	273.9995209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000005156	562.20454	1.0	833.666051	0.0	206.65074	704.2902	743.59546	816.63741	115.422118	115.75392	1053.82083	665.29801	651.8238	602.50099	193.60798	161.06454	729.72725	563.47707	926.32374	738.12877	541.02746	505.41235	2792.38407	2330.02546	2692.19872	2767.16518	1115.70508	646.63435	564.11826	840.47206	475.5401313	988.86928	603.44933	380.063586	73.6308	397.761814	262.1284143	163.238404	40.036901	318.43873	58.783718	294.37518	105.8051541	144.4992319	175.02759	26.0103128	309.935955	245.3758	797.44495	210.06699	60.281676
ENSG00000005175	268.4624	1.0	1151.53678	0.0	87.00001748	297.38093	278.71236	305.49196	23.07793	20.0	502.0955908	338.004678	317.29942	281.1148217	78.99996	63.0	504.8852426	313.34077	521.41127	515.48544	348.05389	319.94154	2610.01911	1627.84605	3157.10225	1373.3415	671.255489	1048.40528	805.2365261	967.60876	2160.94615	1942.28475	1410.10978	661.81098	17.331005	204.57722	66.6592	60.45558	58.99998368	96.819807	52.15765822	427.6276	42.80381	88.67384	240.77101	29.37809	362.6921159	234.7962	731.2324	189.24871	69.0696526
ENSG00000005187	3.44015	1.0	24.497147	0.0	3.212532	25.07496	9.577693	27.27089	1.0	4.419659508	37.160742	19.72823	19.04232	15.63222	4.89055	2.60216	21.759963	19.98743022	30.65045524	22.55318	13.029808	7.99336	24.36149	23.57206	15.2177	12.76544	5.77234	23.71644605	26.64950884	26.03095	19.386403	113.34357	42.168892	25.939003	28.95066	45.38268	7.945689	1.0	10.95766	14.11831	25.2589363	47.42304863	73.832604	72.400889	45.90781	9.123425811	51.50439	32.3583449	101.60959	20.1436	10.78351
ENSG00000005189	134.45096	1.0	133.9999971	0.0	18.06519	117.81573	107.26045	147.4387	9.000001	13.000049	186.0576914	105.55294	98.56335	117.01867	25.17871	8.650676	129.27682	85.32653	155.75416	118.2342049	71.917794	84.88142	464.8752	625.18877	407.58265	569.98018	396.0004205	159.9999865	154.1956606	108.01426	103.433979	221.0001571	65.99999	127.249278	7.000001395	84.89998	23.99997	1.89335	10.0	43.0	8.86822	92.71581378	7.0	27.00002	36.99998	1.359079	41.00005	22.00001	69.00001	16.0	2.0
ENSG00000005194	1765.57985	1.0	1788.73019	0.0	416.97684	1788.79088	1771.81585	1978.46014	229.000441	213.000375	2585.03289	1832.610421	1760.80548	1477.1448	377.98461	273.077641	2068.22714	1373.877219	2441.60781	1904.67623	1312.34658	1311.849784	5337.89303	6414.01811	5719.9938	6623.96853	2838.32254	1138.218396	889.55694	1206.984	2295.997509	2885.66184	2896.26083	1587.08401	102.9999	634.58132	454.98732	263.99989	94.00005	428.9823792	213.99956	889.00032	280.99961	653.65414	532.00055	43.99996	683.74625	459.00082	1461.00002	232.99981	84.99993
ENSG00000005206	788.01564	1.0	239.76875	0.0	1206.39745	2982.61405	3063.09803	5045.22762	1231.00016	1227.02624	4265.20371	2786.07424	2803.20202	2591.5096	1651.01685	1622.47484	2247.09697	2090.28399	3519.25829	2244.0072	1854.46566	1894.16991	3892.21357	3502.12323	2528.70039	2054.17059	2045.69556	380.72001	635.95252	578.61213	632.94688	720.4230776	639.841678	593.97174	154.67565	837.7590749	366.9826219	520.1348	158.81513	481.365562	482.8444	457.88154	533.0689	770.39415	438.03585	227.76904	967.15479	398.12589	1199.87206	338.50921	105.857762
ENSG00000005238	285.9999856	1.0	709.00073	0.0	490.0000578	1750.00076	1782.000133	2536.00069	337.0004	342.0003	2566.00042	1677.99966	1668.99947	1532.99951	490.9993159	501.9996	1528.99964	1281.99987	2140.9997	1569.995501	1155.997688	1138.9971	1246.00005	1831.0004	1267.00073	2717.99905	247.00002	249.999995	510.0004	661.9996859	1983.9998	1939.0003	2105.986131	1318.99921	432.9803	1100.999856	698.9933863	1090.000948	344.0000137	748.9996564	220.0002417	1295.999	629.0007755	346.9688	1311.00224	291.99945	1599.004	1083.999318	3380.994816	1763.9992	578.00028
ENSG00000005243	396.9999164	1.0	226.0000884	0.0	40.99997	169.9999	142.00005	179.99995	20.0	18.0	207.0000883	147.0000293	132.0000186	117.9999617	32.00001	16.00004883	146.00004	102.999988	181.9999818	161.9999931	107.00002	107.9999328	555.99992	497.99958	366.0000705	178.00032	0.0	181.9999656	121.000101	169.9998766	702.0000922	384.9995033	415.99984	538.9998423	4.000001	6.0	11.0	25.00004	3.000001	14.0	44.99996197	10.0	10.0	13.000003	16.00000025	4.999994992	69.00003993	14.99999839	34.99999116	22.99999022	13.0
ENSG00000005249	33.00004	1.0	643.0	0.0	478.0	1475.99508	1432.9993	1768.00335	260.99974	266.0	2457.00219	1552.00023	1700.99948	1256.99689	427.0	390.0	2223.99762	1521.00295	2587.0027	2439.99778	1573.00134	1400.99928	77.0	110.0	98.0	72.99995	1.0	477.9998	346.0003	278.0	778.0	1132.0	687.0	192.0	556.00043	167.0	138.0	143.0	160.0	108.0	70.0	159.0	87.0	298.000434	290.0	16.0	264.0	522.0	1760.0	191.0	68.0
ENSG00000005302	281.3244494	1.0	1106.04007	0.0	242.402479	1205.82734	1072.908721	1290.33909	172.47779	138.5910911	1700.562022	1145.016983	1157.326558	955.8197018	305.8172801	211.00048	1334.895699	917.60879	1608.22382	1378.017062	955.5073407	852.6637581	2728.78042	2636.071873	2858.618493	2613.51135	896.6426233	689.4586899	965.5367168	1389.410995	1119.336998	2235.06564	1335.63727	1112.30246	146.6466141	1293.76605	1246.549429	752.77706	364.8580703	835.0227777	112.72523	1246.41125	677.71572	694.62723	1217.1215	139.3576722	1102.46554	1401.93465	4453.2118	1935.90417	588.90567
